Date,Time,Zip_Code,Neighborhood,Police_Zone,Incident_Description,Council_District
2017-01-08,01:45:00,15212,North Shore,1,99,1
2016-12-28,05:22:00,15212,East Allegheny,1,99,1
2017-01-01,10:51:00,15212,Marshall-Shadeland,1,99,1
2016-12-26,22:15:00,15212,Troy Hill,1,99,1
2017-01-01,04:04:00,15212,Marshall-Shadeland,1,99,1
2017-01-02,14:03:00,15212,Central North Side,1,99,6
2016-12-31,20:00:00,15212,California-Kirkbride,1,99,6
2017-01-03,04:03:00,15212,Brighton Heights,1,99,1
2017-01-22,17:20:00,15212,Fineview,1,99,6
2016-12-29,18:04:00,15212,Marshall-Shadeland,1,99,1
2017-01-01,00:05:00,15212,Marshall-Shadeland,1,99,1
2017-01-07,15:27:00,15212,Allegheny Center,1,99,1
2017-01-09,17:10:00,15212,East Allegheny,1,99,1
2017-01-09,09:58:00,15212,Brighton Heights,1,99,1
2017-01-03,20:35:00,15212,East Allegheny,1,99,1
2016-12-26,00:47:00,15212,Brighton Heights,1,99,1
2016-12-27,06:55:00,15212,Brighton Heights,1,99,1
2017-01-11,16:25:00,15212,Brighton Heights,1,99,1
2017-01-01,16:23:00,15212,Central Business District,1,99,1
2016-12-26,15:59:00,15212,Brighton Heights,1,99,1
2016-12-30,01:00:00,15212,Allegheny Center,1,99,1
2017-01-01,16:20:00,15212,East Allegheny,1,99,1
2016-12-26,16:15:00,15212,Central North Side,1,99,1
2017-01-10,15:34:00,15212,East Allegheny,1,99,1
2017-01-04,20:00:00,15212,Marshall-Shadeland,1,99,1
2017-01-04,15:30:00,15212,East Allegheny,1,99,1
2017-01-01,03:25:00,15212,Central North Side,1,99,1
2017-01-05,09:30:00,15212,Allegheny Center,1,99,1
2016-12-26,18:12:00,15212,East Allegheny,1,99,1
2017-01-03,15:35:00,15212,Central North Side,1,99,1
2017-01-06,23:13:00,15212,Allegheny Center,1,99,1
2017-01-09,00:21:00,15212,Allegheny Center,1,99,1
2017-01-07,17:22:00,15212,Marshall-Shadeland,1,99,1
2017-01-09,15:00:00,15212,East Allegheny,1,99,1
2017-01-08,18:00:00,15212,North Shore,1,99,1
2017-01-08,20:00:00,15212,North Shore,1,99,1
2016-12-27,22:56:00,15212,Brighton Heights,1,99,1
2016-12-29,21:07:00,15212,Brighton Heights,1,99,1
2017-01-02,11:04:00,15212,Allegheny Center,1,99,1
2017-01-04,03:00:00,15212,St. Clair,1,99,
2017-01-10,00:32:00,15212,East Allegheny,1,99,1
2017-01-23,09:45:00,15212,East Allegheny,1,99,1
2017-01-21,00:40:00,15212,Brighton Heights,1,99,
2017-01-18,22:45:00,15212,East Allegheny,1,99,1
2017-01-14,07:46:00,15212,Perry South,1,99,6
2017-01-17,13:23:00,15212,Brighton Heights,1,99,1
2017-01-16,08:21:00,15212,Perry South,1,99,6
2017-01-20,11:00:00,15212,Central North Side,1,99,6
