_id,PK,CCR,HIERARCHY,INCIDENTTIME,Date,Time,INCIDENTLOCATION,Zip_Code,CLEAREDFLAG,Neighborhood,Police_Zone,Incident_Description,OFFENSES,INCIDENTTRACT,Council_District,PUBLIC_WORKS_DIVISION,Latitude ,Longitude 
5,147232544,17002219,0,2017-01-04T17:00:00,2017-01-04,17:00:00,"5000 Block Glenwood Ave Pittsburgh, PA 15207",15207,N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Harassment,1515,5,3,-79.940323,40.4092963
6,147236261,17002214,0,2017-01-04T16:25:00,2017-01-04,16:25:00,"Fort Duquesne Blvd & Stanwix St Pittsburgh, PA 15222",15222,Y,Central Business District,2,99,627.02(b)(i) Possessing a small amount of marijuana / 3334 Turning Movements and Required Signals.,201,6,6,-80.0046759,40.44345815
16,147435012,17004301,0,2017-01-08T01:45:00,2017-01-08,01:45:00,"N Pa Rt 28 & Anderson St Pittsburgh, PA 15212",15212,Y,North Shore,1,99,3733 Fleeing or Attempting to Elude Police Officer / 3323 Stop Signs and Yield Signs. / 3802(a)(1) DUI - General Impairment,2205,1,1,-80.00136795,40.45080004
30,147327792,17002939,0,2017-01-05T18:00:00,2017-01-05,18:00:00,"400 Block mt pleasant Rd Pittsburgh, PA 15214",15214,N,Northview Heights,1,99,9999 9999 - (Misc. Incident): Non violent domestic,2609,1,1,-80.00190144,40.47982925
58,146823562,16241141,0,2016-12-29T09:59:00,2016-12-29,09:59:00,"5600 Block Munhall Rd Pittsburgh, PA 15217",15217,N,Squirrel Hill South,4,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1413,5,3,-79.92460144,40.43335804
69,146702238,16239808,0,2016-12-26T22:00:00,2016-12-26,22:00:00,"3800 Block O'Hara St Pittsburgh, PA 15213",15213,N,West Oakland,4,99,9999 9999 - (Misc. Incident): possible cyber luring of a juvenile,402,8,3,-79.95956034,40.44331555
79,146924040,16242197,0,2016-12-31T02:14:00,2016-12-31,02:14:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",15210,N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,4,-79.99548539,40.42151101
84,146714936,16240311,0,2016-12-27T20:25:00,2016-12-27,20:25:00,"200 Block Grandview Ave Pittsburgh, PA 15211",15211,N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1914,2,5,-80.00806432,40.43237752
160,146886176,16241685,0,2016-12-30T07:29:00,2016-12-30,07:29:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",15210,N,Carrick,3,99,9998 Overdose Other,2902,4,4,-79.98735091,40.39183252
98,146678861,16240107,0,2016-12-27T14:00:00,2016-12-27,14:00:00,"900 Block Western Ave Pittsburgh, PA 15233",15233,N,Allegheny West,1,99,9999 9999 - (Misc. Incident): ,2201,1,1,-80.01680324,40.45207945
115,146937378,16242894,0,2016-12-31T13:05:00,2016-12-31,13:05:00,"Lilac St & Murray Ave Pittsburgh, PA 15217",15217,N,Greenfield,4,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,1517,5,3,-79.92865165,40.42320644
118,146783253,16240824,0,2016-12-28T18:30:00,2016-12-28,18:30:00,"4200 Block Mc Caslin St Pittsburgh, PA 15217",15217,Y,Greenfield,4,99,9133 Noise Complaint - No Citation,1517,5,3,-79.9367067,40.42298243
120,146783836,16240352,0,2016-12-27T21:30:00,2016-12-27,21:30:00,"3400 Block 5th Ave Pittsburgh, PA 15213",15213,N,West Oakland,4,99,2709(a)(2) Harassment by Following Person in Public Place(s),402,6,3,-79.96178778,40.43912007
121,146793464,16240912,0,2016-12-28T21:02:00,2016-12-28,21:02:00,"30 Block Almeda St Pittsburgh, PA 15207",15207,Y,Hazelwood,4,99,9093 Indirect Criminal Contempt,1515,5,3,-79.94055761,40.40302252
129,146704068,16240153,0,2016-12-27T15:58:00,2016-12-27,15:58:00,"Gaskel St Pittsburgh, PA 15211",15211,N,Mount Washington,3,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1914,2,5,-80.0095497,40.42978374
130,146728299,16240477,0,2016-12-28T05:22:00,2016-12-28,05:22:00,"800 Block Suismon St Pittsburgh, PA 15212",15212,N,East Allegheny,1,99,9998 Overdose Other,2304,1,1,-79.99735506,40.45581482
139,146947810,16242637,0,2016-12-31T21:30:00,2016-12-31,21:30:00,"900 Block Watson St Pittsburgh, PA 15219",15219,N,Bluff,2,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,103,6,6,-79.99155821,40.43824766
143,146960429,17000269,0,2017-01-01T10:51:00,2017-01-01,10:51:00,"3000 Block Vensel Way Pittsburgh, PA 15212",15212,N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Dog Bite,2715,1,1,-80.02872837,40.47202205
152,146870488,16241619,0,2016-12-30T03:00:00,2016-12-30,03:00:00,"100 Block Millbridge St Pittsburgh, PA 15210",15210,N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,4,-79.99588771,40.42175627
165,146976687,17000579,0,2017-01-01T05:11:00,2017-01-01,05:11:00,"2000 Block E Carson St Pittsburgh, PA 15203",15203,N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1702,3,4,-79.97750748,40.42831022
170,146629122,16239682,0,2016-12-26T17:09:00,2016-12-26,17:09:00,"90 Block S 24th St Pittsburgh, PA 15203",15203,N,South Side Flats,3,99,9998 Overdose Other,1609,3,4,-79.97117559,40.42886706
