Date,Time,Zip_Code,Neighborhood,Police_Zone,Incident_Description,Council_District
2017-01-04,17:00:00,15207,Hazelwood,4,99,5
2017-01-04,16:25:00,15222,Central Business District,2,99,6
2017-01-08,01:45:00,15212,North Shore,1,99,1
2017-01-05,18:00:00,15214,Northview Heights,1,99,1
2016-12-29,09:59:00,15217,Squirrel Hill South,4,99,5
2016-12-26,22:00:00,15213,West Oakland,4,99,8
2016-12-31,02:14:00,15210,Allentown,3,99,3
2016-12-27,20:25:00,15211,Mount Washington,3,99,2
2016-12-30,07:29:00,15210,Carrick,3,99,4
2016-12-27,14:00:00,15233,Allegheny West,1,99,1
2016-12-31,13:05:00,15217,Greenfield,4,99,5
2016-12-28,18:30:00,15217,Greenfield,4,99,5
2016-12-27,21:30:00,15213,West Oakland,4,99,6
2016-12-28,21:02:00,15207,Hazelwood,4,99,5
2016-12-27,15:58:00,15211,Mount Washington,3,99,2
2016-12-28,05:22:00,15212,East Allegheny,1,99,1
2016-12-31,21:30:00,15219,Bluff,2,99,6
2017-01-01,10:51:00,15212,Marshall-Shadeland,1,99,1
2016-12-30,03:00:00,15210,Allentown,3,99,3
2017-01-01,05:11:00,15203,South Side Flats,3,99,3
2016-12-26,17:09:00,15203,South Side Flats,3,99,3
2016-12-26,22:15:00,15212,Troy Hill,1,99,1
2017-01-01,04:04:00,15212,Marshall-Shadeland,1,99,1
2016-12-27,16:19:00,15106,Outside City,OSC,99,
2016-12-28,03:30:00,15210,Knoxville,3,99,3
2017-01-01,19:37:00,15206,Garfield,5,99,9
2017-01-04,13:18:00,15233,Chateau,1,99,1
2016-12-28,19:52:00,15213,West Oakland,4,99,8
2017-01-02,14:03:00,15212,Central North Side,1,99,6
2016-12-31,20:00:00,15212,California-Kirkbride,1,99,6
2016-12-31,20:30:00,15222,North Shore,1,99,6
2017-01-02,00:01:00,15208,Homewood South,5,99,9
2017-01-01,20:00:00,one 6,,6,99,
2017-01-04,00:01:00,15214,Fineview,1,99,6
2017-01-07,18:00:00,15219,West Oakland,4,99,6
