Longitude,Latitude,Location,Crime type,Last outcome category
0.134864,51.571806,On or near Supermarket,Violence and sexual offences,Under investigation
0.134864,51.571806,On or near Supermarket,Violence and sexual offences,Under investigation
0.132395,51.57087,On or near Supermarket,Violence and sexual offences,Under investigation
0.175537,51.564683,On or near Supermarket,Violence and sexual offences,Under investigation
0.148434,51.559364,On or near Supermarket,Violence and sexual offences,Under investigation
0.148434,51.559364,On or near Supermarket,Violence and sexual offences,Under investigation
0.127913,51.539459,On or near Supermarket,Violence and sexual offences,Under investigation
0.127913,51.539459,On or near Supermarket,Violence and sexual offences,Under investigation
0.148865,51.542198,On or near Supermarket,Violence and sexual offences,Under investigation
0.148865,51.542198,On or near Supermarket,Violence and sexual offences,Under investigation
0.148865,51.542198,On or near Supermarket,Violence and sexual offences,Under investigation
0.080477,51.539024,On or near Supermarket,Violence and sexual offences,Under investigation
0.080477,51.539024,On or near Supermarket,Violence and sexual offences,Under investigation
0.080477,51.539024,On or near Supermarket,Violence and sexual offences,Under investigation
0.080477,51.539024,On or near Supermarket,Violence and sexual offences,Under investigation
0.113572,51.541184,On or near Supermarket,Violence and sexual offences,Under investigation
0.120975,51.562993,On or near Supermarket,Violence and sexual offences,Under investigation
-0.203057,51.655304,On or near Supermarket,Violence and sexual offences,Under investigation
-0.201227,51.654782,On or near Supermarket,Violence and sexual offences,Under investigation
-0.176122,51.617895,On or near Supermarket,Violence and sexual offences,Under investigation
-0.177113,51.615878,On or near Supermarket,Violence and sexual offences,Under investigation
-0.179864,51.611379,On or near Supermarket,Violence and sexual offences,Under investigation
-0.155137,51.607459,On or near Supermarket,Violence and sexual offences,Under investigation
-0.155137,51.607459,On or near Supermarket,Violence and sexual offences,Under investigation
-0.155137,51.607459,On or near Supermarket,Violence and sexual offences,Under investigation
-0.192079,51.603115,On or near Supermarket,Violence and sexual offences,Under investigation
-0.16449,51.590044,On or near Supermarket,Violence and sexual offences,Under investigation
-0.219652,51.585948,On or near Supermarket,Violence and sexual offences,Under investigation
-0.196566,51.572215,On or near Supermarket,Violence and sexual offences,Under investigation
-0.215235,51.557213,On or near Supermarket,Violence and sexual offences,Under investigation
-0.214475,51.556743,On or near Supermarket,Violence and sexual offences,Under investigation
0.1447,51.481797,On or near Supermarket,Violence and sexual offences,Under investigation
0.150273,51.491587,On or near Supermarket,Violence and sexual offences,Under investigation
0.132981,51.464007,On or near Supermarket,Violence and sexual offences,Under investigation
0.142765,51.457416,On or near Supermarket,Violence and sexual offences,Under investigation
0.142765,51.457416,On or near Supermarket,Violence and sexual offences,Under investigation
0.146894,51.456765,On or near Supermarket,Violence and sexual offences,Under investigation
0.146894,51.456765,On or near Supermarket,Violence and sexual offences,Under investigation
0.146894,51.456765,On or near Supermarket,Violence and sexual offences,Under investigation
0.144745,51.456967,On or near Supermarket,Violence and sexual offences,Under investigation
0.11005,51.462515,On or near Supermarket,Violence and sexual offences,Under investigation
0.11005,51.462515,On or near Supermarket,Violence and sexual offences,Under investigation
0.108407,51.464361,On or near Supermarket,Violence and sexual offences,Under investigation
0.11005,51.462515,On or near Supermarket,Violence and sexual offences,Under investigation
0.104104,51.46282,On or near Supermarket,Violence and sexual offences,Under investigation
0.104104,51.46282,On or near Supermarket,Violence and sexual offences,Under investigation
0.103035,51.424844,On or near Supermarket,Violence and sexual offences,Under investigation
0.101544,51.426202,On or near Supermarket,Violence and sexual offences,Under investigation
0.103088,51.433198,On or near Supermarket,Violence and sexual offences,Under investigation
-0.261134,51.593989,On or near Supermarket,Violence and sexual offences,Under investigation
-0.261134,51.593989,On or near Supermarket,Violence and sexual offences,Under investigation
-0.261134,51.593989,On or near Supermarket,Violence and sexual offences,Under investigation
-0.261134,51.593989,On or near Supermarket,Violence and sexual offences,Under investigation
-0.261134,51.593989,On or near Supermarket,Violence and sexual offences,Under investigation
